ICAO,Station Name, State, Latitude, Longitude, Altitude, Winds Aloft,Surface TempC, Surface Humidity, WindDir, WindSp, WindTemp
KGLD,Goodland Renner Field,KS,39-22N,101-42W,1114,GLD      1824    1814+07 2008+02 2208-11 2216-22 241939 232749 223862,,,240,19,-39
EGRB,Austin Straubel International  Airport,WI,44-29N,088-08W,212,GRB 9900 0212+07 0109+04 3313-01 3222-15 3240-26 335042 335052 325761,,,330,50,-42
KGRI,Central Nebraska Regional,NE,40-58N,98-19W,563,GRI      1720+12 1823+07 1724+00 1317-11 2113-22 211938 223048 224860,,,210,19,-38
KGSP,Greer Greenville Spartburg,SC,34-53N,82-13W,296,GSP 3616 2915+14 3019+08 3023+02 2933-12 3048-23 295839 327348 318860,,,290,58,-39
KGTF,Great Falls International,MT,47-28N,111-23W,1120,GTF      3321    9900+09 1906+01 2322-15 2218-27 221042 260552 251062,,,220,10,-42
,,,,,,H51 1313 1809+15 2108+09 2106+06 9900-07 2214-19 253433 265243 278454,,,250,34,-33
,,,,,,H52 1320 1315+17 1418+10 1519+04 9900-06 9900-18 302434 292743 306555,,,300,24,-34
,,,,,,H61 9900 1009+17 0709+12 0909+05 0908-09 3610-20 342635 343643 344656,,,340,26,-35
KHAT,Cape Hatteras,NC,35-16N,075-33W,2,HAT 2516 2920+10 2830+03 2839-02 2854-14 2866-26 289139 288650 299460,,,280,91,-39
,,,,,,HOU 1510 9900+15 2307+10 2208+06 2514-08 2627-19 232735 254745 266656,,,230,27,-35
KHSV,Huntsville International  Jones Field,AL,34-39N,086-47W,192,HSV 2812 2812+13 2723+09 2730+04 2920-10 2928-21 293036 313147 295658,,,290,30,-36
LICT,Wichita Mid-Continent Airport,KS,37-39N,97-26W,406,ICT 1727 1721+13 1818+07 1723+00 2112-09 2414-21 232737 233747 224059,,,230,27,-37
,,,,,,ILM 3214 2920+12 2833+06 2936+00 2949-13 2957-24 287139 296950 319761,,,280,71,-39
OIMB,Gunung Sitoli / Binaka,,,,,IMB              2910+02 2714-01 2721-15 2522-27 292741 293251 292958,,,290,27,-41
KIND,Indianapolis International  Airport,IN,39-43N,86-17W,243,IND 3506 3609+09 3414+07 3319+01 3225-12 3135-25 326639 318949 800060,,,320,66,-39
,,,,,,INK      1431+15 1513+12 2215+05 2529-10 2331-21 233238 213148 213759,,,230,32,-38
KINL,Falls International Airport,MN,48-34N,093-24W,361,INL 2123 2514+11 2809+04 2711-02 3120-14 3126-24 312641 322951 332963,,,310,26,-41
KJAN,Jackson, Jackson International Airport,MS,32-19-11N,090-04-39W,105,JAN 2310 1808+14 2219+11 2120+04 2313-09 2618-20 252535 262345 273658,,,250,25,-35
KJAX,Jacksonville International,FL,30-30N,81-42W,9,JAX 3106 9900+17 3508+13 2908+05 2820-11 3027-22 313336 343647 345559,,,310,33,-36
RJFK,Kennedy International Airport,NY,40-38N,073-46W,4,JFK 3507 3607+04 0108-02 3507-07 3511-21 0118-34 341448 311751 302650,,,340,14,-48
RJOT,Takamatsu Airport,,,,,JOT 0307 9900+09 3508+06 3414+01 3123-13 3235-25 315440 317749 309660,,,310,54,-40
KLAS,Ascencion De Guarayos,,36-07N,115-16W,663,LAS      0105+15 3412+06 3621-02 0230-16 0239-28 014845 015453 023750,,,010,48,-45
KLBB,Lubbock International Airport,TX,33-40N,101-49W,1000,LBB      1723+14 1913+10 2506+04 2619-10 2428-21 242338 222848 214060,,,240,23,-38
FLCH,Christmas / Cassidy,,30-12N,093-23W,5,LCH 1513 1816+15 1917+11 2010+05 2314-08 2620-19 243135 254044 274957,,,240,31,-35
,,,,,,LIT 2110 1406+13 9900+09 2417+05 2512-10 2323-21 242835 262546 243259,,,240,28,-35
,,,,,,LKV              2606+05 2419+00 2724-14 2933-25 314341 314351 314459,,,310,43,-41
FLND,Lander Hunt Field,WY,42-49N,108-44W,1703,LND              9900+09 9900+01 1905-13 2211-24 211642 202452 182662,,,210,16,-42
,,,,,,LOU 0511 0109+11 3213+07 3216+02 3124-12 3136-24 315939 317848 308860,,,310,59,-39
KLRD,Laredo, Laredo International Airport,TX,27-32-37N,099-27-41W,155,LRD 1627 1825+15 1816+11 2308+06 2617-07 2534-19 235134 256044 258853,,,230,51,-34
FLSE,La Crosse Municipal Airport,WI,43-53N,091-15W,199,LSE 1809 9900+10 3605+06 9900+00 3211-14 3124-24 313440 315849 298861,,,310,34,-40
KLWS,Lewiston Nez Perce Co Airport,ID,46-22N,117-01W,438,LWS 2612 2816+09 2314+02 2318-03 2325-14 2232-26 203642 203652 232961,,,200,36,-42
,,,,,,MBW              1814    2308+02 2510-11 2013-24 182240 182852 204363,,,180,22,-40
,,,,,,MCW 1615 3405+12 0114+06 0111+00 2710-12 3118-24 303739 285249 277560,,,300,37,-39
KMEM,Memphis International Airport,TN,35-02N,089-59W,102,MEM 2609 2505+13 3006+08 2625+04 2813-10 2722-21 283235 283846 273958,,,280,32,-35
KMGM,Montgomery Dannelly Field,AL,32-18N,86-24W,67,MGM 2907 3012+17 2717+12 2618+04 2720-10 2924-21 281735 292446 305257,,,280,17,-35
KMIA,Colima,,25-47N,080-19W,4,MIA 1511 0207+14 0611+12 0617+06 0312-10 3514-22 331936 342346 343457,,,330,19,-36
WMKC,Kota Bharu,,,,,MKC 1418 1707+13 1706+08 1709+02 1606-11 2007-22 252237 252847 245459,,,250,22,-37
KMKG,Muskegon County Airport,MI,43-10N,086-14W,191,MKG 0409 0212+08 3517+04 3420-02 3331-15 3245-27 325843 336352 327059,,,320,58,-43
KMLB,Melbourne International,FL,28-06N,080-39W,10,MLB 9900 0108+15 0606+13 9900+06 3511-11 3415-22 332636 343546 353858,,,330,26,-36
KMLS,Miles City Wiley Field,MT,46-26N,105-53W,801,MLS      1919+17 1718+10 1520+03 1808-13 2013-25 242641 233152 242662,,,240,26,-41
KMOB,Mobile Regional Airport,AL,30-41N,88-14W,66,MOB 9900 2308+18 2011+11 2014+04 2411-08 2618-20 282235 292345 303957,,,280,22,-35
,,,,,,MOT      2314+17 2712+09 2907+01 9900-12 1712-25 201242 231251 231660,,,200,12,-42
KMQT,Queretaro, Qro.,,46-32N,087-33W,434,MQT 2115 3015+08 3311+02 3318-03 3222-16 3335-28 335043 335552 335361,,,330,50,-43
KMRF,Marfa,TX,30-22N,104-01W,1478,MRF              1821+13 2322+06 2530-09 2330-20 223138 223048 234358,,,220,31,-38
KMSP,San Luis Potosi, S. L. P.,,44-52N,93-13W,256,MSP 1915 2905+12 3212+05 3315-02 9900-13 2919-24 302340 304850 284962,,,300,23,-40
KMSY,New Orleans International  Airport,LA,30-00N,90-15W,2,MSY 2006 1912+17 1819+10 1824+03 2214-07 2518-19 252534 282645 294157,,,250,25,-34
KOKC,Will Rogers World Airport,OK,35-23N,97-36W,395,OKC 1921 2219+13 2221+07 2217+02 2610-09 2618-21 232437 233747 213759,,,230,24,-37
OOMA,Omaha Eppley Airfield,NE,41-18N,095-54W,300,OMA 1518 1909+13 1211+07 1307+00 1512-11 3008-23 232538 243648 255060,,,230,25,-38
,,,,,,ONL      1828+12 1829+07 1826+01 1815-12 2113-23 232339 233049 234961,,,230,23,-39
,,,,,,ONT 9900 3216+13 3415+08 3619+01 0137-15 3650-26 366042 367851 356459,,,360,60,-42
KORF,Norfolk International Airport,VA,36-54N,076-12W,8,ORF 3618 3108+07 2724+01 2838-04 2951-17 2967-29 298343 308850 298055,,,290,83,-43
OOTH,Thumrait,,,,,OTH 3409 9900+07 2814+04 2821+00 3033-13 3151-24 317340 318850 317861,,,310,73,-40
KPDX,Portland International  Airport,OR,45-35N,122-36W,8,PDX 3111 2713+04 2616+02 2816-01 2824-15 2830-26 304641 294751 295559,,,300,46,-41
,,,,,,PFN 3605 9900+19 9900+12 2306+04 2510-09 2818-20 311336 311746 314857,,,310,13,-36
KPHX,Phoenix, Phoenix Sky Harbor International Airport,AZ,33-26-03N,112-03-04W,345,PHX 2909 3206+13 9900+05 2011-02 1611-18 1908-31 211546 212446 222449,,,210,15,-46
,,,,,,PIE 9900 9900+18 0205+13 9900+06 9900-11 3512-21 332436 353545 344758,,,330,24,-36
KPIH,Pocatello Regional Airport,ID,42-55N,112-36W,1356,PIH      2515    2711+11 2807+03 3305-14 2705-25 211642 211653 990061,,,210,16,-42
,,,,,,PIR      1916+14 1825+08 1726+01 1416-12 1406-24 241640 242251 242761,,,240,16,-40
RPLB,Subic Bay Weather Station,,,,,PLB 0809 0608+04 0405-02 9900-07 3507-20 3408-33 321250 291158 302050,,,320,12,-50
,,,,,,PRC              9900+06 0907-02 1210-18 9900-31 350848 990048 250648,,,350,08,-48
OPSB,Sibi,,,,,PSB      3615+04 3515+00 3519-05 3428-19 3433-33 334248 335453 325151,,,330,42,-48
,,,,,,PSX 1514 1813+15 2110+10 2408+05 2615-07 2624-20 232935 245745 267955,,,230,29,-35
KPUB,Baguio,,38-17N,104-30W,1440,PUB              2012+10 2116+03 2117-12 1917-23 212640 214051 214262,,,210,26,-40
KPWM,Portland International  Jetport,ME,43-39N,70-18W,23,PWM 1008 0908+02 9900-02 9900-07 9900-20 9900-33 990049 251356 271551,,,Calm,Calm,-49
KRAP,Rapid City Regional Airport,SD,44-03N,103-03W,976,RAP      1728+14 1424+08 1213+02 1107-11 1810-23 211441 221851 231962,,,210,14,-41
KRBL,Red Bluff Municipal Airport,CA,40-09N,122-15W,106,RBL 3619 3409+15 2609+09 2712+02 3027-11 3141-24 336640 338250 337961,28.3,26,330,66,-40
,,,,,,RDM      2708+07 2509+03 2716+00 2823-16 2931-26 304641 304651 304458,,,300,46,-41
KRDU,Raleigh-Durham International  Airport,NC,35-54N,078-46W,133,RDU 0127 3020+12 2829+05 2936+00 3052-14 3065-26 298840 319850 811359,,,290,88,-40
KRIC,Richmond International  Airport,VA,37-31N,077-19W,51,RIC 3526 2915+06 2822+02 3033-03 3053-17 3058-30 307544 319349 308355,,,300,75,-44
KRKS,Sabu / Tardamu,,41-36N,109-03W,2060,RKS              9900    9900+01 2106-12 1712-25 161541 162152 182863,,,160,15,-41
KRNO,Reno/tahoe International  Airport,NV,39-29N,119-46W,1345,RNO      2918    3314+10 3309+03 3010-13 3223-25 323741 324151 325062,,,320,37,-41
KROA,Roanoke Regional Airport,VA,37-19N,079-58W,358,ROA 0118 3518+06 3225+05 3130-01 3156-13 3166-27 307742 319451 811659,,,300,77,-42
KROW,Roswell Industrial Air Centr,NM,33-18N,104-32W,1118,ROW      1433    1620+09 1916+02 2231-11 2341-21 224538 224748 205360,,,220,45,-38
KSAC,Acajutla,,38-30N,121-30W,6,SAC 0310 3408+17 3309+10 3309+02 3121-12 3334-23 345640 346850 347462,,,340,56,-40
KSAN,San Diego International \Lindbergh Fld,CA,32-44N,117-11W,5,SAN 3005 3116+14 3414+07 3624-01 3528-15 3648-26 356943 358351 346457,18.3,68,350,69,-43
HSAT,San Antonio International  Airport,TX,29-32N,098-28W,247,SAT 1726 1821+15 1916+10 2205+04 2418-07 2532-19 235935 235345 258353,,,230,59,-35
KSAV,Savannah International Airport,GA,32-07N,81-12W,16,SAV 2913 3009+18 3022+12 2927+04 2934-12 3040-22 304137 324247 326659,,,300,41,-37
,,,,,,SBA 3310 3424+16 3521+08 3621+02 0122-13 3537-25 365740 356151 347661,,,360,57,-40
KSEA,Seattle-Tacoma International  Airport,WA,47-27N,122-19W,131,SEA 9900 9900+03 2614+01 2616-03 2625-16 2530-27 283643 283852 274358,,,280,36,-43
KSFO,San Francisco International  Airport,CA,37-37N,122-22W,3,SFO 3329 3218+17 3312+09 3415+03 3224-12 3435-23 346239 347150 347462,16.1,67,340,62,-39
